seite;speerName;produkt;quelle;kartenname
618;Kromberg & Schubert;"Isolierte el. Leitungen; abgebundene Schnüre für Nachrichtenwesen und Waffenbau; Kabelsätze für Kfz-Industrie; Elektromotorenbau und Reparaturen für die Flak 88; Marine Reparaturen; Infanterie-Munitions-Programm einschließlich 400 lg. Feldkabel; Panzerabwehr-Programm; Lkw und Zkw; Reparaturen von Elektromotoren für den Rüstungsbereich. (alle: Rüstungs-Notprogramm)";RWWA 22-349-6;Kromberg & Schubert (Kroschu)
619;Krüger, Alfred, Uhrmachermeister;Fertigung von Borduren, Produktion innerhalb des Fertigungsringes N 9, Leitung Helmut Junghans, Schramberg Württbg.;BundesA-MA: RL 3 = 1666;
619;Kunstdarm GmbH;Herstellung von Kunstdärmen für Wehrmacht und lebenswichtigen zivilen Bedarf;RWWA 22-349-6;Kunstdarm GmbH
619;Fr. Krupp AG Essen, Niederlassung Wuppertal;Hartmetall-Fertigung (Zi SS 4900, Führer-Notprogramm);RWWA 22-349-6;Fried. Krupp AG Essen, Zweigwerk „Dreherei Wuppertal“ / „Widia Wuppertal“
619;D. La Porte Söhne;"Ölflaschenhalter, Gasmaskenschnallen, Karabinerhaken. Schlösser- u. Wehrmachstfahrzeugbeschläge f. Panzerfahrzeuge u. LKW; Bombendeckel; Teile für Funkmessgeräte; Möbelschlösser für Wehrmachtsbedarf u. Fliegergeschädigte";"VDI (Hg.): Technikgeschichte aus dem Bergischen Land, S. 197; RWWA 22-349-6";D. La Porte Söhne
619;Walter Lehnemann;Säcke für Flugzeugnieten, Arbeitsschutzbekleidung;RWWA 22-28-12;Walter Lehnemann
619;Leimbacher Hütte Hollweg & Co. K. G. Eisengießerei;"Handfeuerwaffen, Munition, Flak, Panzerwagen, LKW, PKW, Schlepper, Generatoren, Tornister-Funkgerät, Reparatur-Bedarf, Teile für U-Boot- und Schiffsbau-Programm; Teile f. Geilenberg-Programm";RWWA 22-349-6;Leimbacher Hütte Hollweg & Co.
619;Karl Lenzner;blankgedrehte Fassonteile in Präszisionsausführung für Aktion 88, FlakAktion, Jägerprogramm, Hochleistungs-Flugzeuge (Führer-Notprogramm);RWWA 22-349-6;Carl Lenzner
619;Carl Leschus & Co. = Firma Julius Klein;Koppeltragegestelle;RWWA 22-28-1;
619;A. Lüttringhaus;Waffen;RWWA 22-28-12;
619;August Luhn & Co. GmbH;"Seifen und Waschmittel für den zivilen Sektor; Seifen u. Waschmittel für Wehrmacht und Bergbau; Glycerin-Herstellung; Weichmacher für Brandt-Geräte; Fettsäure für Buna-Fabrikation";RWWA 22-349-6;August Luhn & Co. GmbH
619;Friedrich Marcus;"Schmiedeteile für Hochleistungsflugzeuge (Führer-Notprogramm); Aufarbeitung von Oberbaustoffen für die Reichsbahn zur Beseitigung von Bahnund Gleisschäden";RWWA 22-349-6;Friedrich Marcus
619;Meckenstock, Otto, Uhrmachermeister;Fertigung von Borduren, Produktion innerhalb des Fertigungsringes N 9, Leitung Helmut Junghans, Schramberg Württbg.;BundesA-MA: RL 3 — 1666;
619;Metzenauer & Jung;"Tornisterfunkgerät; Funkmeßgerät; Selbstschalter; Stecker; Schaltgeräte";RWWA 22-349-6;Metzenauer & Jung
619;Meyers & Nolte;Torpedofertigung;RWWA 22-28-12;
619;Mittelsten-Schee & Co.;"Geschoß-Rohlinge, Munition; Kopfteile für 8 cm Wgr. 34";"RWWA 22-28-12; RWWA 22-28-10";Mittelsten-Schee & Co.
619;Hans Moog bzw. Deutsche Leucht- und Signalmittelwerk;Leucht- und Signalmunition;RWWA 22-28-10;Hans Moog [=Deutsches Leucht- u. Signalmittelwerk Dr. Feistel KG]
619;Carl Neuhaus;Herstellung von Spachteln und Maurerkellen für Sofortmaßnahmen, Heereswaffenamt, Luftwaffe, Heer und Reichsbahn;RWWA 22-349-6;
619;Neuhaus & Sohn;"Brandt-Programm; Kartuschbeutel / gassichere Gewebe und Papiere";Festschrift 1968;Neuhaus & Sohn
619;Werner Neumann;Produktionen für Luftwaffe und Bergbau;;Werner Neumann
619;W. & M. Ostermann;"Bearbeitung von Zahnrädern für die Seitenvorgelege an Panzerwagen; Bodenstücke M 8 — 16 und Köpfe von Geschossen; Herstellung von Tandemschlauchumflechtmaschinen (Jäger-Programm); Herstellung von Getrieben (Engpaß-Programm);";RWWA 22-349-6;W. & M. Ostermann
